reading,rainfall,fire_name,county
8/1/98,0,BigBarComplex,Trinity
8/2/98,0,BigBarComplex,Trinity
8/3/98,0,BigBarComplex,Trinity
8/4/98,0,BigBarComplex,Trinity
8/5/98,0,BigBarComplex,Trinity
8/6/98,0,BigBarComplex,Trinity
8/7/98,0,BigBarComplex,Trinity
8/8/98,0,BigBarComplex,Trinity
8/9/98,0,BigBarComplex,Trinity
8/10/98,0,BigBarComplex,Trinity
8/11/98,0,BigBarComplex,Trinity
8/12/98,0,BigBarComplex,Trinity
8/13/98,0,BigBarComplex,Trinity
8/14/98,0,BigBarComplex,Trinity
8/15/98,0,BigBarComplex,Trinity
8/16/98,0,BigBarComplex,Trinity
8/17/98,0,BigBarComplex,Trinity
8/18/98,0,BigBarComplex,Trinity
8/19/98,0.01,BigBarComplex,Trinity
8/20/98,0,BigBarComplex,Trinity
8/21/98,0,BigBarComplex,Trinity
8/22/98,0,BigBarComplex,Trinity
8/23/98,0,BigBarComplex,Trinity
8/24/98,0,BigBarComplex,Trinity
8/25/98,0,BigBarComplex,Trinity
8/26/98,0,BigBarComplex,Trinity
8/27/98,0,BigBarComplex,Trinity
8/28/98,0,BigBarComplex,Trinity
8/29/98,0,BigBarComplex,Trinity
8/30/98,0,BigBarComplex,Trinity
8/31/98,0,BigBarComplex,Trinity
9/1/98,0,BigBarComplex,Trinity
9/2/98,0,BigBarComplex,Trinity
9/3/98,0,BigBarComplex,Trinity
9/4/98,0,BigBarComplex,Trinity
9/5/98,0,BigBarComplex,Trinity
9/6/98,0,BigBarComplex,Trinity
9/7/98,0,BigBarComplex,Trinity
9/8/98,0,BigBarComplex,Trinity
9/9/98,0,BigBarComplex,Trinity
9/10/98,0.36,BigBarComplex,Trinity
9/11/98,0,BigBarComplex,Trinity
9/12/98,0,BigBarComplex,Trinity
9/13/98,0,BigBarComplex,Trinity
9/14/98,0,BigBarComplex,Trinity
9/15/98,0,BigBarComplex,Trinity
9/16/98,0,BigBarComplex,Trinity
9/17/98,0,BigBarComplex,Trinity
9/18/98,0,BigBarComplex,Trinity
9/19/98,0,BigBarComplex,Trinity
9/20/98,0,BigBarComplex,Trinity
9/21/98,0,BigBarComplex,Trinity
9/22/98,0,BigBarComplex,Trinity
9/23/98,0,BigBarComplex,Trinity
9/24/98,0.01,BigBarComplex,Trinity
9/25/98,0,BigBarComplex,Trinity
9/26/98,0,BigBarComplex,Trinity
9/27/98,0,BigBarComplex,Trinity
9/28/98,0.33,BigBarComplex,Trinity
9/29/98,0.01,BigBarComplex,Trinity
9/30/98,0,BigBarComplex,Trinity
10/1/98,0,BigBarComplex,Trinity
10/2/98,0.02,BigBarComplex,Trinity
10/3/98,0,BigBarComplex,Trinity
10/4/98,0,BigBarComplex,Trinity
10/5/98,0,BigBarComplex,Trinity
10/6/98,0,BigBarComplex,Trinity
10/7/98,0,BigBarComplex,Trinity
10/8/98,0.04,BigBarComplex,Trinity
10/9/98,0,BigBarComplex,Trinity
10/10/98,0,BigBarComplex,Trinity
10/11/98,0,BigBarComplex,Trinity
10/12/98,0,BigBarComplex,Trinity
10/13/98,0.4,BigBarComplex,Trinity
10/14/98,0,BigBarComplex,Trinity
10/15/98,0,BigBarComplex,Trinity
10/16/98,0,BigBarComplex,Trinity
10/17/98,0,BigBarComplex,Trinity
10/18/98,0,BigBarComplex,Trinity
10/19/98,0,BigBarComplex,Trinity
10/20/98,0,BigBarComplex,Trinity
10/21/98,0,BigBarComplex,Trinity
10/22/98,0,BigBarComplex,Trinity
10/23/98,0,BigBarComplex,Trinity
10/24/98,0.85,BigBarComplex,Trinity
10/25/98,0.38,BigBarComplex,Trinity
10/26/98,0.01,BigBarComplex,Trinity
10/27/98,0,BigBarComplex,Trinity
10/28/98,0.01,BigBarComplex,Trinity
10/29/98,0,BigBarComplex,Trinity
10/30/98,0,BigBarComplex,Trinity
10/31/98,0,BigBarComplex,Trinity
11/1/98,0.36,BigBarComplex,Trinity
11/2/98,0,BigBarComplex,Trinity
11/3/98,0.09,BigBarComplex,Trinity
11/4/98,0.02,BigBarComplex,Trinity
11/5/98,0.16,BigBarComplex,Trinity
11/6/98,0.23,BigBarComplex,Trinity
11/7/98,0.67,BigBarComplex,Trinity
11/8/98,0.4,BigBarComplex,Trinity
11/9/98,0.01,BigBarComplex,Trinity
11/10/98,0.16,BigBarComplex,Trinity
11/11/98,0.38,BigBarComplex,Trinity
11/12/98,0.05,BigBarComplex,Trinity
11/13/98,0,BigBarComplex,Trinity
11/14/98,0,BigBarComplex,Trinity
11/15/98,0.05,BigBarComplex,Trinity
11/16/98,0.01,BigBarComplex,Trinity
11/17/98,0.64,BigBarComplex,Trinity
11/18/98,0,BigBarComplex,Trinity
11/19/98,0,BigBarComplex,Trinity
11/20/98,0,BigBarComplex,Trinity
11/21/98,1,BigBarComplex,Trinity
11/22/98,1.8,BigBarComplex,Trinity
11/23/98,1,BigBarComplex,Trinity
11/24/98,1.25,BigBarComplex,Trinity
11/25/98,0.06,BigBarComplex,Trinity
11/26/98,0.47,BigBarComplex,Trinity
11/27/98,0.22,BigBarComplex,Trinity
11/28/98,0,BigBarComplex,Trinity
11/29/98,0.81,BigBarComplex,Trinity
11/30/98,0.93,BigBarComplex,Trinity
12/1/98,0.66,BigBarComplex,Trinity
12/2/98,0.53,BigBarComplex,Trinity
12/3/98,0.38,BigBarComplex,Trinity
12/4/98,0.01,BigBarComplex,Trinity
12/5/98,0,BigBarComplex,Trinity
12/6/98,0.04,BigBarComplex,Trinity
12/7/98,0,BigBarComplex,Trinity
12/8/98,0,BigBarComplex,Trinity
12/9/98,0,BigBarComplex,Trinity
12/10/98,0,BigBarComplex,Trinity
12/11/98,0,BigBarComplex,Trinity
12/12/98,0.41,BigBarComplex,Trinity
12/13/98,0.18,BigBarComplex,Trinity
12/14/98,0.31,BigBarComplex,Trinity
12/15/98,0.02,BigBarComplex,Trinity
12/16/98,0,BigBarComplex,Trinity
12/17/98,0,BigBarComplex,Trinity
12/18/98,0,BigBarComplex,Trinity
12/19/98,0,BigBarComplex,Trinity
12/20/98,1.07,BigBarComplex,Trinity
12/21/98,0.02,BigBarComplex,Trinity
12/22/98,0,BigBarComplex,Trinity
12/23/98,0,BigBarComplex,Trinity
12/24/98,0,BigBarComplex,Trinity
12/25/98,0,BigBarComplex,Trinity
12/26/98,0,BigBarComplex,Trinity
12/27/98,0,BigBarComplex,Trinity
12/28/98,0,BigBarComplex,Trinity
12/29/98,0,BigBarComplex,Trinity
12/30/98,0,BigBarComplex,Trinity
12/31/98,0.2,BigBarComplex,Trinity
1/1/99,0.04,BigBarComplex,Trinity
1/2/99,0,BigBarComplex,Trinity
1/3/99,0,BigBarComplex,Trinity
1/4/99,0,BigBarComplex,Trinity
1/5/99,0,BigBarComplex,Trinity
1/6/99,0,BigBarComplex,Trinity
1/7/99,0,BigBarComplex,Trinity
1/8/99,0,BigBarComplex,Trinity
1/9/99,0,BigBarComplex,Trinity
1/10/99,0,BigBarComplex,Trinity
1/11/99,0,BigBarComplex,Trinity
1/12/99,0,BigBarComplex,Trinity
1/13/99,0,BigBarComplex,Trinity
1/14/99,0,BigBarComplex,Trinity
1/15/99,0.55,BigBarComplex,Trinity
1/16/99,0.4,BigBarComplex,Trinity
1/17/99,0.26,BigBarComplex,Trinity
1/18/99,0.91,BigBarComplex,Trinity
1/19/99,0.21,BigBarComplex,Trinity
1/20/99,0.26,BigBarComplex,Trinity
1/21/99,0.72,BigBarComplex,Trinity
1/22/99,0.07,BigBarComplex,Trinity
1/23/99,0.93,BigBarComplex,Trinity
1/24/99,0.12,BigBarComplex,Trinity
1/25/99,0,BigBarComplex,Trinity
1/26/99,0,BigBarComplex,Trinity
1/27/99,0.08,BigBarComplex,Trinity
1/28/99,0,BigBarComplex,Trinity
1/29/99,0,BigBarComplex,Trinity
1/30/99,0,BigBarComplex,Trinity
1/31/99,0.51,BigBarComplex,Trinity
2/1/99,0.06,BigBarComplex,Trinity
2/2/99,0,BigBarComplex,Trinity
2/3/99,0,BigBarComplex,Trinity
2/4/99,0.05,BigBarComplex,Trinity
2/5/99,0,BigBarComplex,Trinity
2/6/99,0.42,BigBarComplex,Trinity
2/7/99,2.27,BigBarComplex,Trinity
2/8/99,0.18,BigBarComplex,Trinity
2/9/99,1.4,BigBarComplex,Trinity
2/10/99,1.1,BigBarComplex,Trinity
2/11/99,0,BigBarComplex,Trinity
2/12/99,0,BigBarComplex,Trinity
2/13/99,0,BigBarComplex,Trinity
2/14/99,0.53,BigBarComplex,Trinity
2/15/99,0,BigBarComplex,Trinity
2/16/99,0.4,BigBarComplex,Trinity
2/17/99,0.9,BigBarComplex,Trinity
2/18/99,0.11,BigBarComplex,Trinity
2/19/99,0.92,BigBarComplex,Trinity
2/20/99,0,BigBarComplex,Trinity
2/21/99,0.82,BigBarComplex,Trinity
2/22/99,0.25,BigBarComplex,Trinity
2/23/99,0.38,BigBarComplex,Trinity
2/24/99,0.02,BigBarComplex,Trinity
2/25/99,0.53,BigBarComplex,Trinity
2/26/99,0.12,BigBarComplex,Trinity
2/27/99,0.59,BigBarComplex,Trinity
2/28/99,0.53,BigBarComplex,Trinity
3/1/99,0,BigBarComplex,Trinity
3/2/99,0.02,BigBarComplex,Trinity
3/3/99,0.64,BigBarComplex,Trinity
3/4/99,0.06,BigBarComplex,Trinity
3/5/99,0.11,BigBarComplex,Trinity
3/6/99,0,BigBarComplex,Trinity
3/7/99,0,BigBarComplex,Trinity
3/8/99,0.04,BigBarComplex,Trinity
3/9/99,0.62,BigBarComplex,Trinity
3/10/99,0.03,BigBarComplex,Trinity
3/11/99,0,BigBarComplex,Trinity
3/12/99,0,BigBarComplex,Trinity
3/13/99,0.01,BigBarComplex,Trinity
3/14/99,0.14,BigBarComplex,Trinity
3/15/99,0.22,BigBarComplex,Trinity
3/16/99,0.01,BigBarComplex,Trinity
3/17/99,0,BigBarComplex,Trinity
3/18/99,0,BigBarComplex,Trinity
3/19/99,0,BigBarComplex,Trinity
3/20/99,0.11,BigBarComplex,Trinity
3/21/99,0.06,BigBarComplex,Trinity
3/22/99,0.07,BigBarComplex,Trinity
3/23/99,0.08,BigBarComplex,Trinity
3/24/99,0.47,BigBarComplex,Trinity
3/25/99,0.48,BigBarComplex,Trinity
3/26/99,0.03,BigBarComplex,Trinity
3/27/99,0,BigBarComplex,Trinity
3/28/99,0,BigBarComplex,Trinity
3/29/99,0,BigBarComplex,Trinity
3/30/99,0.26,BigBarComplex,Trinity
3/31/99,0.6,BigBarComplex,Trinity
4/1/99,0.05,BigBarComplex,Trinity
4/2/99,0,BigBarComplex,Trinity
4/3/99,0,BigBarComplex,Trinity
4/4/99,0.06,BigBarComplex,Trinity
4/5/99,0.18,BigBarComplex,Trinity
4/6/99,0.1,BigBarComplex,Trinity
4/7/99,0.01,BigBarComplex,Trinity
4/8/99,0.28,BigBarComplex,Trinity
4/9/99,0.08,BigBarComplex,Trinity
4/10/99,0.13,BigBarComplex,Trinity
4/11/99,0.48,BigBarComplex,Trinity
4/12/99,0,BigBarComplex,Trinity
4/13/99,0,BigBarComplex,Trinity
4/14/99,0,BigBarComplex,Trinity
4/15/99,0,BigBarComplex,Trinity
4/16/99,0,BigBarComplex,Trinity
4/17/99,0,BigBarComplex,Trinity
4/18/99,0,BigBarComplex,Trinity
4/19/99,0,BigBarComplex,Trinity
4/20/99,0,BigBarComplex,Trinity
4/21/99,0,BigBarComplex,Trinity
4/22/99,0,BigBarComplex,Trinity
4/23/99,0,BigBarComplex,Trinity
4/24/99,0,BigBarComplex,Trinity
4/25/99,0,BigBarComplex,Trinity
4/26/99,0,BigBarComplex,Trinity
4/27/99,0,BigBarComplex,Trinity
4/28/99,0,BigBarComplex,Trinity
4/29/99,0,BigBarComplex,Trinity
4/30/99,0,BigBarComplex,Trinity
5/1/99,0,BigBarComplex,Trinity
5/2/99,0.01,BigBarComplex,Trinity
5/3/99,0.2,BigBarComplex,Trinity
5/4/99,0.2,BigBarComplex,Trinity
5/5/99,0,BigBarComplex,Trinity
5/6/99,0,BigBarComplex,Trinity
5/7/99,0,BigBarComplex,Trinity
5/8/99,0,BigBarComplex,Trinity
5/9/99,0,BigBarComplex,Trinity
5/10/99,0,BigBarComplex,Trinity
5/11/99,0,BigBarComplex,Trinity
5/12/99,0,BigBarComplex,Trinity
5/13/99,0,BigBarComplex,Trinity
5/14/99,0,BigBarComplex,Trinity
5/15/99,0.1,BigBarComplex,Trinity
5/16/99,0,BigBarComplex,Trinity
5/17/99,0,BigBarComplex,Trinity
5/18/99,0,BigBarComplex,Trinity
5/19/99,0,BigBarComplex,Trinity
5/20/99,0,BigBarComplex,Trinity
5/21/99,0,BigBarComplex,Trinity
5/22/99,0,BigBarComplex,Trinity
5/23/99,0,BigBarComplex,Trinity
5/24/99,0,BigBarComplex,Trinity
5/25/99,0,BigBarComplex,Trinity
5/26/99,0,BigBarComplex,Trinity
5/27/99,0,BigBarComplex,Trinity
5/28/99,0,BigBarComplex,Trinity
5/29/99,0,BigBarComplex,Trinity
5/30/99,0,BigBarComplex,Trinity
5/31/99,0,BigBarComplex,Trinity
6/1/99,0,BigBarComplex,Trinity
6/2/99,0,BigBarComplex,Trinity
6/3/99,0.11,BigBarComplex,Trinity
6/4/99,0,BigBarComplex,Trinity
6/5/99,0,BigBarComplex,Trinity
6/6/99,0,BigBarComplex,Trinity
6/7/99,0,BigBarComplex,Trinity
6/8/99,0,BigBarComplex,Trinity
6/9/99,0,BigBarComplex,Trinity
6/10/99,0,BigBarComplex,Trinity
6/11/99,0,BigBarComplex,Trinity
6/12/99,0,BigBarComplex,Trinity
6/13/99,0,BigBarComplex,Trinity
6/14/99,0,BigBarComplex,Trinity
6/15/99,0,BigBarComplex,Trinity
6/16/99,0,BigBarComplex,Trinity
6/17/99,0,BigBarComplex,Trinity
6/18/99,0,BigBarComplex,Trinity
6/19/99,0,BigBarComplex,Trinity
6/20/99,0,BigBarComplex,Trinity
6/21/99,0,BigBarComplex,Trinity
6/22/99,0,BigBarComplex,Trinity
6/23/99,0,BigBarComplex,Trinity
6/24/99,0,BigBarComplex,Trinity
6/25/99,0,BigBarComplex,Trinity
6/26/99,0,BigBarComplex,Trinity
6/27/99,0,BigBarComplex,Trinity
6/28/99,0,BigBarComplex,Trinity
6/29/99,0,BigBarComplex,Trinity
6/30/99,0,BigBarComplex,Trinity
7/1/99,0,BigBarComplex,Trinity
7/2/99,0,BigBarComplex,Trinity
7/3/99,0,BigBarComplex,Trinity
7/4/99,0,BigBarComplex,Trinity
7/5/99,0,BigBarComplex,Trinity
7/6/99,0,BigBarComplex,Trinity
7/7/99,0,BigBarComplex,Trinity
7/8/99,0,BigBarComplex,Trinity
7/9/99,0,BigBarComplex,Trinity
7/10/99,0,BigBarComplex,Trinity
7/11/99,0,BigBarComplex,Trinity
7/12/99,0,BigBarComplex,Trinity
7/13/99,0,BigBarComplex,Trinity
7/14/99,0,BigBarComplex,Trinity
7/15/99,0,BigBarComplex,Trinity
7/16/99,0,BigBarComplex,Trinity
7/17/99,0,BigBarComplex,Trinity
7/18/99,0,BigBarComplex,Trinity
7/19/99,0,BigBarComplex,Trinity
7/20/99,0,BigBarComplex,Trinity
7/21/99,0,BigBarComplex,Trinity
7/22/99,0,BigBarComplex,Trinity
7/23/99,0,BigBarComplex,Trinity
7/24/99,0,BigBarComplex,Trinity
7/25/99,0,BigBarComplex,Trinity
7/26/99,0,BigBarComplex,Trinity
7/27/99,0,BigBarComplex,Trinity
7/28/99,0,BigBarComplex,Trinity
7/29/99,0,BigBarComplex,Trinity
7/30/99,0,BigBarComplex,Trinity
7/31/99,0,BigBarComplex,Trinity
8/1/99,0,BigBarComplex,Trinity
8/2/99,0,BigBarComplex,Trinity
8/3/99,0,BigBarComplex,Trinity
8/4/99,0,BigBarComplex,Trinity
8/5/99,0,BigBarComplex,Trinity
8/6/99,0,BigBarComplex,Trinity
8/7/99,0.2,BigBarComplex,Trinity
8/8/99,0,BigBarComplex,Trinity
8/9/99,0,BigBarComplex,Trinity
8/10/99,0,BigBarComplex,Trinity
8/11/99,0.07,BigBarComplex,Trinity
8/12/99,0,BigBarComplex,Trinity
8/13/99,0,BigBarComplex,Trinity
8/14/99,0,BigBarComplex,Trinity
8/15/99,0,BigBarComplex,Trinity
8/16/99,0,BigBarComplex,Trinity
8/17/99,0,BigBarComplex,Trinity
8/18/99,0,BigBarComplex,Trinity
8/19/99,0,BigBarComplex,Trinity
8/20/99,0,BigBarComplex,Trinity
