reading,rainfall,fire_name,county
8/1/1998,0.00,BigBarComplex,Trinity
8/2/1998,0.00,BigBarComplex,Trinity
8/3/1998,0.00,BigBarComplex,Trinity
8/4/1998,0.00,BigBarComplex,Trinity
8/5/1998,0.00,BigBarComplex,Trinity
8/6/1998,0.00,BigBarComplex,Trinity
8/7/1998,0.00,BigBarComplex,Trinity
8/8/1998,0.00,BigBarComplex,Trinity
8/9/1998,0.00,BigBarComplex,Trinity
8/10/1998,0.00,BigBarComplex,Trinity
8/11/1998,0.00,BigBarComplex,Trinity
8/12/1998,0.00,BigBarComplex,Trinity
8/13/1998,0.00,BigBarComplex,Trinity
8/14/1998,0.00,BigBarComplex,Trinity
8/15/1998,0.00,BigBarComplex,Trinity
8/16/1998,0.00,BigBarComplex,Trinity
8/17/1998,0.00,BigBarComplex,Trinity
8/18/1998,0.00,BigBarComplex,Trinity
8/19/1998,0.01,BigBarComplex,Trinity
8/20/1998,0.00,BigBarComplex,Trinity
8/21/1998,0.00,BigBarComplex,Trinity
8/22/1998,0.00,BigBarComplex,Trinity
8/23/1998,0.00,BigBarComplex,Trinity
8/24/1998,0.00,BigBarComplex,Trinity
8/25/1998,0.00,BigBarComplex,Trinity
8/26/1998,0.00,BigBarComplex,Trinity
8/27/1998,0.00,BigBarComplex,Trinity
8/28/1998,0.00,BigBarComplex,Trinity
8/29/1998,0.00,BigBarComplex,Trinity
8/30/1998,0.00,BigBarComplex,Trinity
8/31/1998,0.00,BigBarComplex,Trinity
9/1/1998,0.00,BigBarComplex,Trinity
9/2/1998,0.00,BigBarComplex,Trinity
9/3/1998,0.00,BigBarComplex,Trinity
9/4/1998,0.00,BigBarComplex,Trinity
9/5/1998,0.00,BigBarComplex,Trinity
9/6/1998,0.00,BigBarComplex,Trinity
9/7/1998,0.00,BigBarComplex,Trinity
9/8/1998,0.00,BigBarComplex,Trinity
9/9/1998,0.00,BigBarComplex,Trinity
9/10/1998,0.36,BigBarComplex,Trinity
9/11/1998,0.00,BigBarComplex,Trinity
9/12/1998,0.00,BigBarComplex,Trinity
9/13/1998,0.00,BigBarComplex,Trinity
9/14/1998,0.00,BigBarComplex,Trinity
9/15/1998,0.00,BigBarComplex,Trinity
9/16/1998,0.00,BigBarComplex,Trinity
9/17/1998,0.00,BigBarComplex,Trinity
9/18/1998,0.00,BigBarComplex,Trinity
9/19/1998,0.00,BigBarComplex,Trinity
