Name,County,Acres,Hectares,Start date,Structures,Deaths
Mendocino,Mendocino,459123 ,185800 ,7/1/18,280,1
Thomas,Ventura,281893 ,114078 ,12/1/17,1063,23
Cedar,San Diego,273246 ,110579 ,10/1/03,2820,15
Rush,Lassen,271911 ,110038 ,8/1/12,1,0
Rim,Tuolumne,257314 ,104131 ,8/1/13,112,0
Carr,Shasta,229651 ,92936 ,7/1/18,1604,8
Witch,San Diego,197990 ,80120 ,10/1/07,1650,2
Klamath,Siskiyou,192038 ,77715 ,6/1/08,0,2
Basin Complex,Monterey,162818 ,65890 ,6/1/08,58,0
Day,Ventura,162702 ,65843 ,9/1/06,11,0
Station,Los Angeles,160557 ,64975 ,8/1/09,209,2
Camp,Butte,153336 ,62053 ,11/1/18,18804,86
Rough,Fresno,151623 ,61360 ,7/1/15,4,0
McNally,Tulare,150696 ,60985 ,7/1/02,17,0
Big Bar Complex,Trinity,140948 ,57040 ,8/1/99,0,0
