OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
25,51940,AK6108315491720150601,CAN CREEK,2015,6,1,458586.426560546,894445539.058858,Wildfire
32,46686,AK6002415119720070619,CARIBOU HILLS,2007,6,19,280893.185262151,754280425.183463,Wildfire
47,193799,AK6043915096220140520,FUNNY RIVER,2014,5,20,480484.876268328,3191913280.68168,Wildfire
54,39019,AK6089416075820150620,FOG RIVER,2015,6,20,260193.089581084,666387379.289498,Wildfire
60,193968,AK6145515569120130531,LIME HILLS,2013,5,31,1119084.79369286,3439724909.7331,Wildfire
64,46360,AK6149815578120150620,WHY LAKE,2015,6,20,315682.429918879,820767575.318077,Wildfire
76,56374,AK6126114312320090702,CHAKINA,2009,7,2,320468.506359402,983280093.249026,Wildfire
83,31490,AK6131915985520150624,OPHIR CREEK,2015,6,24,255165.265033179,550864384.564799,Wildfire
84,70232,AK6133716252320150622,KUKA CREEK 4,2015,6,22,493014.018093039,1226915638.08691,Wildfire
87,70980,AK6138116038420150601,WHITEFISH LAKE 1,2015,6,1,401433.820859682,1245592926.91275,Wildfire
93,133070,AK6207315901020050802,SADDLE,2005,8,2,636685.566949316,2443107711.51239,Wildfire
100,45239,AK6221716090020150625,STUYAHOK RIVER,2015,6,25,322740.152938898,841779756.043657,Wildfire
102,59754,AK6222215599620050703,WASKY,2005,7,3,575931.453989574,1109863039.05963,Wildfire
103,56332,AK6222916164120060531,NAGEETHLUK RIVER,2006,5,31,249233.692373818,1046122730.31559,Wildfire
105,30326,AK6227615474820090705,BIG RIVER,2009,7,5,386808.644746929,564925935.64006,Wildfire
109,57411,AK6165415966120150623,NORTH ANIAK,2015,6,23,295094.501369562,1026486341.8188,Wildfire
111,82041,AK6169316092520050802,TALBIKSOK,2005,8,2,434902.789837282,1467113105.42084,Wildfire
116,40922,AK6180015953320150624,OWHAT RIVER,2015,6,24,279657.208398703,740519202.380809,Wildfire
117,51242,AK6180515536719900702,ROUND,1990,7,2,326802.58284217,924522816.309731,Wildfire
130,62983,AK6199915758620050731,GEORGE,2005,7,31,337375.410435323,1155618750.14286,Wildfire
131,38180,AK6244215459120100529,LONE MOUNTAIN,2010,5,29,380366.22532549,720263461.621189,Prescribed Fire
133,135665,AK6245215694220130612,UNNAMED,2013,6,12,734088.799256265,2556629273.87831,Unknown
135,47612,AK6246315841120150623,LOWER REINDEER PEAK,2015,6,23,282740.504360496,898471134.042301,Wildfire
136,37942,AK6246414163320150609,CHISANA RIVER  2,2015,6,9,291740.311287842,716484933.448522,Wildfire
141,44398,AK6251014141420130531,CHISANA RIVER,2013,5,31,277824.445733927,835475957.528512,Wildfire
150,86915,AK6259215372820100517,TURQUOISE LAKE,2010,5,17,572034.894187103,1643588552.06061,Wildfire
151,60898,AK6259815802820150620,IDITAROD RIVER,2015,6,20,403303.860375901,1155800904.05938,Wildfire
154,41929,AK6262114163820030716,BLACK HILL,2003,7,16,382556.427740007,799205264.279055,Wildland Fire Use
155,33691,AK6262415759820150620,HICKEY CREEK,2015,6,20,270443.662898946,641513231.962347,Wildfire
157,67318,AK6265115433220020717,WINDY,2002,7,17,233847.906273678,1285075462.1141,Wildfire
161,175486,AK6268315550920020522,VINASALE,2002,5,22,782925.916905075,3380260509.98301,Wildfire
163,34657,AK6269814681720040809,ALPHABET HILLS,2004,8,9,471205.625123343,663344785.892774,Wildfire
165,51550,AK6276015852920050802,YETNA,2005,8,2,463183.092698493,987552360.551617,Wildfire
166,156189,AK6277215826720020718,YETNA RIVER,2002,7,18,525409.361849181,3007766952.31931,Wildfire
168,40132,AK6277815740120050802,DISHNA,2005,8,2,307939.466697963,770827943.126923,Wildfire
169,45200,AK6278715527219940613,KATLITNA,1994,6,13,245979.362954328,871268961.112657,Wildfire
171,44650,AK6283416064320050730,GRAYLING CREEK,2005,7,30,274259.501023939,861574342.897354,Wildfire
175,225783,AK6232015915020020717,REINDEER,2002,7,17,674912.753145383,4218111422.53952,Wildfire
177,86445,AK6236115628419880712,804028,1988,7,12,388750.301903565,1616791176.10118,Wildfire
183,33077,AK6284115342020150626,DEEPBANK CREEK,2015,6,26,206116.527148611,641694101.812858,Wildfire
184,95035,AK6289415864020040708,BIG YETNA,2004,7,8,449010.541654414,1845322920.06661,Wildfire
192,125751,AK6298214136220040617,TAYLOR HIGHWAY COMPLEX (GARDINER CREEK),2004,6,17,473065.962703148,2456366491.39772,Wildfire
196,103443,AK6310915773020050801,CHICKEN MOUNTAIN,2005,8,1,454364.633230807,2038306263.13671,Wildfire
206,30221,AK6318715437720020717,NORTH FORK,2002,7,17,231829.321246526,598380207.25687,Wildfire
213,95688,AK6324514276619900701,TOK RIVER,1990,7,1,351297.448395591,1903115527.21423,Wildfire
227,123989,AK6341815761120150620,BLAZO,2015,6,20,853167.302377104,2505340347.15956,Wildfire
233,68914,AK6343415535920050524,WASHINGTON CR.,2005,5,24,683028.588181627,1385602640.83245,Wildfire
239,114043,AK6347715235920050614,HIGHPOWER CREEK,2005,6,14,790149.175614859,2307041976.04273,Wildland Fire Use
245,267726,AK6349714262320040626,TAYLOR HIGHWAY COMPLEX (PORCUPINE),2004,6,26,753556.114025505,5418913570.5494,Wildfire
255,31133,AK6333316155020150621,SISTERS,2015,6,21,235282.53272641,622028307.741636,Wildfire
259,159040,AK6335015356320090523,TONCLONUKNA CREEK,2009,5,23,1063197.6994182,3171993272.10043,Wildfire
267,37083,AK6375715753719840609,WAPOO FIRE,1984,6,9,268979.088108427,764411233.867322,Wildfire
271,460537,AK6377414344020040618,TAYLOR HIGHWAY COMPLEX (BILLY CREEK),2004,6,18,949310.00479137,9504893388.92616,Wildfire
276,118933,AK6355515284120020717,MOOSE LAKE,2002,7,17,475774.64481654,2417093174.25566,Wildland Fire Use
278,62565,AK6356715376720150626,RUNGUN CREEK,2015,6,26,480382.175167593,1272131861.72803,Wildfire
281,32987,AK6361314275619990612,UPPERWESTFORK,1999,6,12,342921.360255812,673088425.096902,Wildfire
284,89061,AK6362615589020020526,COLORADO CREEK,2002,5,26,350267.585613222,1818967906.61197,Wildfire
285,124677,AK6362915301920150705,MUNSATLI 2,2015,7,5,905594.942924707,2562091009.08818,Wildfire
291,42797,AK6366214184319980101,STP001,1998,1,1,371720.08389448,876297994.853545,Wildfire
296,127133,AK6369115895720050726,PAPA WILLIE CREEK,2005,7,26,673951.946247993,2595281034.27639,Wildfire
298,34217,AK6369315014320130626,TOKLAT RIVER EAST,2013,6,26,218376.143631685,707187739.975608,Wildfire
309,47567,AK6374015135419900630,BEAR CREEK,1990,6,30,358679.317452631,979326662.31624,Wildfire
314,40844,AK6386414554119870522,GRANITE CREEK,1987,5,22,186680.575405535,848349862.305843,Wildfire
320,58145,AK6387215719420020522,GALATEA CREEK,2002,5,22,366594.81083124,1208376603.36837,Wildfire
324,59189,AK6389314599320130530,MISSISSIPPI,2013,5,30,649499.980023844,1245254347.59881,Wildfire
326,31621,AK6390615441720150623,OUR CREEK,2015,6,23,295172.655305541,661760125.309058,Wildfire
327,72638,AK6390814635820020515,SPURS,2002,5,15,348343.080192777,1513451978.1984,Wildfire
328,33629,AK6390815136820130622,MOVING RIVER,2013,6,22,426425.71344456,700067064.709656,Wildfire
331,71718,AK6379315629220020526,BEAR CREEK,2002,5,26,377885.800562265,1482124777.15075,Wildfire
334,59693,AK6379815714219880712,832097,1988,7,12,377222.74923027,1234065513.11716,Wildfire
336,48197,AK6380915201720150625,CARLSON LAKE,2015,6,25,485116.417785053,996912921.57396,Wildfire
339,58025,AK6381615873020020717,KHOTOL RIVER,2002,7,17,584848.88940224,1201135424.23842,Wildfire
346,31347,AK6383315580420000625,TANGO CREEK,2000,6,25,337566.940145493,649323716.782516,Wildfire
349,322783,AK6384514248320040615,TAYLOR HIGHWAY COMPLEX (CHICKEN),2004,6,15,1085335.30788151,6720516063.11879,Wildfire
352,48236,AK6397715103220090617,BEAR CREEK,2009,6,17,384989.541769116,1009936869.90117,Wildland Fire Use
