County,Maximum,MaxDate,Minimum,Mean,Median
Mendocino,0.58,2018-07-27,0.0,0.11780821917808229,0.08
Ventura,1.13,2017-12-04,0.0,0.03871232876712325,0.0
San Diego,1.82,2003-10-25,0.0,0.03816438356164383,0.0
Lassen,1.21,2012-08-12,0.0,0.01852459016393442,0.0
Tuolumne,0.4,2013-08-17,0.0,0.10293150684931511,0.08
Shasta,1.09,2018-07-23,0.0,0.04764383561643835,0.0
San Diego,0.7,2007-10-21,0.0,0.014931506849315063,0.0
Siskiyou,2.08,2008-06-21,0.0,0.06415300546448087,0.0
Monterey,2.01,2008-06-21,0.0,0.025546448087431693,0.0
Ventura,3.6,2006-09-04,0.0,0.0704383561643836,0.0
Los Angeles,1.06,2009-08-26,0.0,0.017452054794520545,0.0
Butte,2.25,2018-11-08,0.0,0.038246575342465734,0.0
Fresno,1.14,2015-07-30,0.0,0.015521978021978019,0.0
Tulare,0.92,2002-07-21,0.0,0.023945205479452055,0.0
Trinity,2.27,1999-08-24,0.0,0.10953424657534247,0.0
