reading,rainfall,county,fire_name
2018-04-28,0.07,Mendocino,Mendocino
2018-04-29,0.12,Mendocino,Mendocino
2018-05-01,0.12,Mendocino,Mendocino
2018-05-04,0.12,Mendocino,Mendocino
2018-05-05,0.08,Mendocino,Mendocino
2018-05-08,0.06,Mendocino,Mendocino
2018-05-17,0.06,Mendocino,Mendocino
2018-05-18,0.13,Mendocino,Mendocino
2018-05-20,0.1,Mendocino,Mendocino
2018-05-22,0.08,Mendocino,Mendocino
2018-05-26,0.08,Mendocino,Mendocino
2018-05-27,0.11,Mendocino,Mendocino
2018-05-28,0.06,Mendocino,Mendocino
2018-05-30,0.09,Mendocino,Mendocino
2018-06-04,0.1,Mendocino,Mendocino
2017-10-13,0.08,Ventura,Thomas
2002-11-08,0.4,San Diego,Cedar
2002-11-09,0.75,San Diego,Cedar
2002-11-10,0.22,San Diego,Cedar
2002-11-30,0.53,San Diego,Cedar
2002-12-17,0.93,San Diego,Cedar
2002-12-20,0.73,San Diego,Cedar
2002-12-21,0.26,San Diego,Cedar
2002-12-29,0.11,San Diego,Cedar
2003-02-11,1.11,San Diego,Cedar
2003-02-12,1.15,San Diego,Cedar
2003-02-13,0.51,San Diego,Cedar
2003-02-14,0.24,San Diego,Cedar
2003-02-25,1.82,San Diego,Cedar
2003-02-27,0.58,San Diego,Cedar
2003-03-04,0.15,San Diego,Cedar
2003-03-15,0.73,San Diego,Cedar
2003-03-16,0.97,San Diego,Cedar
2003-04-13,0.15,San Diego,Cedar
2003-04-14,0.78,San Diego,Cedar
2003-04-15,1.05,San Diego,Cedar
2003-04-17,0.06,San Diego,Cedar
2003-05-08,0.3,San Diego,Cedar
2003-06-23,0.2,San Diego,Cedar
2012-06-04,0.08,Lassen,Rush
2013-05-18,0.07,Tuolumne,Rim
2013-05-20,0.07,Tuolumne,Rim
2013-05-24,0.08,Tuolumne,Rim
2013-05-25,0.06,Tuolumne,Rim
2013-05-28,0.13,Tuolumne,Rim
2013-05-29,0.09,Tuolumne,Rim
2013-05-31,0.08,Tuolumne,Rim
2013-06-05,0.08,Tuolumne,Rim
2013-06-07,0.07,Tuolumne,Rim
2013-06-16,0.07,Tuolumne,Rim
2013-07-12,0.09,Tuolumne,Rim
2018-04-27,0.11,Shasta,Carr
2018-04-28,0.07,Shasta,Carr
2018-04-29,0.14,Shasta,Carr
2018-05-15,0.3,Shasta,Carr
2018-05-16,0.09,Shasta,Carr
2018-05-20,0.46,Shasta,Carr
2018-05-24,0.11,Shasta,Carr
2018-05-25,0.81,Shasta,Carr
2018-07-15,0.15,Shasta,Carr
2007-09-20,0.07,San Diego,Witch
2007-09-28,0.06,San Diego,Witch
2008-03-24,0.06,Siskiyou,Klamath
2008-03-27,0.09,Siskiyou,Klamath
2008-04-22,0.06,Siskiyou,Klamath
2008-04-23,0.5,Siskiyou,Klamath
2008-05-26,0.25,Siskiyou,Klamath
2008-05-27,1.16,Siskiyou,Klamath
2008-05-28,0.35,Siskiyou,Klamath
2008-05-29,0.12,Siskiyou,Klamath
2008-04-02,0.24,Monterey,Basin
2008-04-03,0.13,Monterey,Basin
2018-10-02,0.11,Butte,Camp
2018-10-03,0.54,Butte,Camp
2002-04-26,0.67,Tulare,McNally
2002-05-20,0.07,Tulare,McNally
2002-05-21,0.11,Tulare,McNally
1999-06-03,0.11,Trinity,BigBarComplex
1999-08-07,0.2,Trinity,BigBarComplex
1999-08-11,0.07,Trinity,BigBarComplex
